lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,N,175,W,,,447.045,680.325,483.838,285.289,245.879,912.198,2868.365,1163.92,1403.245,1579.197,1228.721,2045.501,776.908,906.375,884.899,629.43,407.006,243.819,834.427,977,1203.908,376.945,413.048,123.185,1541.624,1123.911,1520.092,3195.074,1899.798,856.848,1981.513,1551.884,1574.97,663.242,401.154,1304.335,337.586,1192.398,856.047,482.492,2258.931,554.757,827.474,2290.791,1186.998,1577.775
0,N,170,W,,,200.133,1385.128,,,,704.542,2928.21,1668.192,520.31,2178.849,1243.736,1276.569,305.045,781.242,552.107,462.294,300.597,153.911,564.509,857.457,2049.197,432.723,412.035,412.073,1439.926,780.668,1437.924,3099.298,1616.692,861.619,1704.515,805.139,985.852,501.28,513.001,1916.123,1026.622,770.884,778.814,561.216,1774.37,675.134,1055.452,1506.558,855.681,1360.571
0,N,165,W,,,451.996,404.434,,,,256.495,415.964,1795.112,481.166,1924.29,438.768,2189.616,,1228.213,330,1055.274,704.287,663.299,1444.81,1166.537,1634.913,74.843,322.54,179.122,1894.458,421.263,871.453,2182.676,1195.164,758.146,529.628,173.572,1188.826,705.044,66.181,1376.283,678.755,548.647,403.72,242.28,395.921,236.789,313.469,385.201,1062.872,940.579
0,N,160,W,,,,,,,254.096,608.698,,126.619,,1346.495,239.144,1541.844,256.319,1079.626,452.931,1141.047,934.233,1116.908,1108.897,989.015,2403.133,104.351,605.54,142.922,2535.012,716.343,476.513,429.639,761.931,1456.675,777.426,96.417,1262.942,1340.979,1328.263,1762.977,736.732,569.049,1074.467,258.214,215.186,454.446,1186.777,1330.564,1587.178,1328.294
0,N,155,W,,,,,,,,345.21,,207.826,,822.188,668.018,2134.365,863.207,1723.778,,1003.891,664.795,848.626,992.683,1290.241,2986.125,248.573,766.626,522.514,1350.677,1433.129,218.712,994.608,762.667,393.925,3028.921,241.741,1794.304,2462.928,3321.6,2444.496,424.504,2020.923,1455.205,1261.228,715.194,1624.572,2133.394,1417.712,1487.765,1854.075
0,N,150,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,145,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,140,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,135,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
