lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,N,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,110,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,115,E,,,,,,,,,,,,,0.120105433,,,,,,0.186013779,,,,,,,0.09060857,,,,0.069961126,0.085684293,0.073527227,,,,,,,,,,,,,,,,
0,N,120,E,,,0.106364217,,,,,,,,,,0.109253378,0.127694873,0.132148159,0.126116703,,,0.132955796,0.077907561,0.022747842,0.023633582,0.017344559,0.038196436,0.036736446,0.051284582,0.024588933,0.021694699,0.031671954,0.027295555,0.027311456,0.022299717,0.012343924,0.007781549,0.011207409,0.007324856,0.006550098,0.005200959,0.007507165,0.009685358,0.010946839,0.011336595,0.010766921,0.015131746,0.032999362,0.031560852,0.028758663,0.026570599
0,N,125,E,,,,,,,,0.097486428,0.163556994,0.117527762,0.072540597,0.106488741,0.104733886,0.113888065,,0.092792048,0.106039646,,,0.094626714,0.023394178,0.023538389,0.017276102,0.037881408,0.036406137,0.036185945,0.022506597,0.021502871,0.025216064,0.025372185,0.032680723,0.017000769,0.011818691,0.007775232,0.01168403,0.007322763,0.006553306,0.005338812,0.007865378,0.009854229,0.011276532,0.01147993,0.010924847,0.015401644,0.03299944,0.031623664,0.028972384,0.027087882
0,N,130,E,,,0.121156455,0.142895335,0.151785024,,0.157213114,,0.206043796,0.161626429,0.216028262,0.136456733,0.117724996,0.143121865,0.130308643,0.145976798,0.136554141,0.071776765,0.110398403,0.071386302,0.04690173,0.075309794,0.02980177,0.073858051,0.09397428,0.046817612,0.05212339,0.033351005,0.037099535,0.036291405,0.042088716,0.027238722,0.021671437,0.015750132,0.018784345,0.01046668,0.010580575,0.010156359,0.015045301,0.016384882,0.016594705,0.017103469,0.017811412,0.020128844,0.041966797,0.044817471,0.037275487,0.037391222
0,N,135,E,0.137130759,,0.146262952,0.182000034,0.163360028,0.130263958,0.131938827,0.112344012,0.157143983,0.138911567,0.161015951,0.113799983,0.078974323,0.114170477,0.103937847,0.08375437,0.107272276,0.046117762,0.079180701,0.018191199,0.035496619,0.006138358,0.02032678,0.049263241,0.053805972,0.023061552,0.035320866,0.023049213,0.037945671,0.028283303,0.039238621,0.026017402,0.011484458,0.021836097,0.0149839,0.008652476,0.005768442,0.003256828,0.008146855,0.022538539,0.017131452,0.013459055,0.012282282,0.018379272,0.03524347,0.042449225,0.034848631,0.042535827
0,N,140,E,0.101262295,,0.135571907,0.087653102,0.13870041,0.123353552,0.132668715,0.106347368,0.184459819,0.116182306,0.158060244,0.109857644,0.075280823,0.089454347,0.083382584,0.083644145,0.094460447,0.038446154,0.065557851,0.055602582,0.020540903,0.036046691,0.044063633,0.047819692,0.040253017,0.023190091,0.023583743,0.032582556,0.038245689,0.023975273,0.02948167,0.016475779,0.016688918,0.015758828,0.018832785,0.016332165,0.005756419,0.004502849,0.008874434,0.013330887,0.014052211,0.012424016,0.011198448,0.015106265,0.039295555,0.042070416,0.034155226,0.03598405
0,N,145,E,0.097008414,0.086027884,0.114009033,,0.052011435,0.131340622,0.109748634,0.082756344,0.125898906,0.082776613,0.149500796,0.097021049,0.066976333,0.084557677,0.0967278,0.093350606,0.070862437,0.026199243,0.027275371,0.02602604,0.013984847,0.031099008,0.017662224,0.038903818,0.028634733,0.010160848,0.013727472,0.016001157,0.016922238,0.018356546,0.027123993,0.01436156,0.016779138,0.010386777,0.016572889,0.013416803,0.008350736,0.00634976,0.0090097,0.013583193,0.012022157,0.010513397,0.010818606,0.014659414,0.044256024,0.046976178,0.033993239,0.034789277
0,N,150,E,0.096719399,0.110161066,,0.190210007,0.077770815,0.122102423,0.137256371,0.114096969,0.128089285,0.10886479,0.142513859,0.113310753,0.07693018,0.101122867,0.09921738,0.094750194,0.089787211,0.045717355,0.027099143,0.053378482,0.013359177,0.035027557,0.031654486,0.041142336,0.017740538,0.006550014,0.00940874,0.026974668,0.01957461,0.023258483,0.036523057,0.024962227,0.025437113,0.007863243,0.019149313,0.014940254,0.011802539,0.008417599,0.011272941,0.014540468,0.020050359,0.011390201,0.013730782,0.021782584,0.049226589,0.049335408,0.047349389,0.050917172
0,N,155,E,0.099460962,0.108517916,0.111030144,0.179822327,0.090097691,0.120538601,0.147240299,0.141962221,0.122650079,,0.111489862,0.117606956,0.090390124,0.115898053,0.095045298,0.099176502,0.110969711,0.069164979,0.067885342,0.086967892,0.049330821,0.06728693,0.055382269,0.06707155,0.037196724,0.023978574,0.04125362,0.049508942,0.043374695,0.043725757,0.048753576,0.03602671,0.036644319,0.022028252,0.041458845,0.024081122,0.013845509,0.021332678,0.039822073,0.03864398,0.039232314,0.032100765,0.033634752,0.035715479,0.049854277,0.043986476,0.039670291,0.048029613
