LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5,N,175,E,475.217,1535.983,4410.56,3977.326,1306.905,2019.501,2137.016,2049.588,2298.531,1844.784,1426.844,403.888,578.452,644.775,947.698,1156.537,486.257,1297.099,1359.416,1270.545
5,N,155,W,1625.183,774.841,500.773,2215.46,1904.877,1775.125,1666.609,772.253,2996.732,1161.519,532.957,766.413,753.516,39.428,287.279,989.613,439.111,353.873,20.708,143.607
5,N,160,W,1646.399,1437.118,1503.518,1925.959,2023.305,1562.368,862.806,1462.218,1845.576,1558.961,2062.093,1025.284,645.715,320.965,255.824,594.437,406.618,294.352,29.934,22.767
5,N,165,W,44.3,122.988,83.123,1070.765,509.163,873.574,476.795,862.686,200.264,294.552,131.384,250.572,491.076,178.461,120.504,254.579,1005.123,230.894,23.922,157.579
5,N,170,W,669.422,314.732,274.804,2982.976,374.498,685.846,450.561,643.329,1283.515,637.573,886.405,461.091,1248.308,578.123,318.778,624.834,370.367,168.279,405.595,106.541
5,N,175,W,785.209,820.52,169.435,1931.313,284.768,375.583,254.397,1085.026,1539.624,842.262,1033.232,406.985,680.074,765.798,435.02,972.334,111.51,529.323,637.038,162.779
5,N,180,W,678.271,493.494,301.724,998.152,234.952,414.275,467.173,912.014,708.265,691.388,1161.247,276.471,304.407,716.74,771.869,981.134,187.729,979.028,671.982,454.732
10,N,105,E,,,,,,,,,,,,,,,,,,,,
10,N,110,E,1686.581,1059.061,1605.722,2014.825,1490.66,3639.077,3600.21,3465.035,3542.84,3753.708,3896.124,3911.76,4031.64,3707.472,3323.916,3311.304,3823.119,4270.572,4444.56,3966.624
10,N,115,E,2573.557,1759.571,2516.392,3286.213,2451.234,4371.819,4225.609,3896.037,4064.222,3753.708,3896.124,3911.76,4132.841,3945.555,4259.664,3611.911,4111.444,4291.572,4530.308,3966.624
10,N,120,E,,,,,,,,,,,,,,,,467.058,79.415,,,
10,N,125,E,3004.258,2220.158,2738.781,3489.565,2602.421,2075.636,1804.487,1299.239,1425.081,658.092,176.603,103.787,270.053,85.311,85.693,362.41,233.989,203.783,331.825,456.965
10,N,130,E,2132.476,2409.866,1200.991,930.47,904.346,616.734,707.007,891.156,1161.533,1357.463,1463.813,1473.252,1571.451,1478.278,1042.332,1188.052,1347.361,1341.344,2070.913,2050.208
10,N,135,E,1355.698,268.91,275.017,249.772,93.479,108.982,65.8,80.536,262.095,295.394,210.247,196.895,572.478,418.754,309.59,431.303,402.225,513.581,928.754,487.133
10,N,140,E,1384.393,354.531,165.868,364.406,51.308,188.789,,,322.706,158.355,87.918,219.662,39.471,84.491,36.602,66.669,61.764,317.419,73.734,131.854
10,N,145,E,1539.47,738.676,317.414,933.146,368.072,388.341,,141.2,663.104,522.353,338.479,326.932,203.782,7.959,128.569,231.964,,75.342,24.269,9.476
10,N,150,E,1986.681,365.47,205.492,1122.195,413.076,317.818,293.096,77.684,427.597,503.982,395.337,183.192,479.751,198.928,955.786,455.967,268.673,1048.141,725.083,359.771
10,N,155,E,757.232,159.549,82.29,511.835,559.873,662.7,373.825,227.331,271.702,332.155,185.982,136.16,360.066,249.805,711.472,487.605,467.274,2315.601,2357.035,1318.228
10,N,160,E,543.924,313.513,145.605,209.677,418.935,,,,262.054,212.05,,104.696,94.68,,,85.15,144.979,121.047,100.511,403.344
10,N,165,E,175.366,,,216.309,282.863,,,,130.222,90.433,,,112.022,234.944,,,38.863,67.607,103.848,46.501
10,N,170,E,666.866,659.329,,65.635,525.98,133.227,82.432,61.84,893.065,247.22,749.829,348.076,586.513,193.977,110.041,246.838,366.4,1293.892,504.878,338.814
